l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
0,035	9,218	13,3035548	8,743293922	24,57741488	10,593216	6,340189041	21,49150937	5,268291795	-7,067937208	20,81656829	0,184119881	-0,247015125	0,727511729	0,323298216	-1,154195963	0,727376705	75,30209286	45,06936363	152,7728345	37,02189899	22,15812821	75,11000334	36,6926711	24,8335478	58,10316907	0,563085979	0,11440191	2,3947552	0,430838569	0,28315351	0,795945025
0,036	8,836	13,03920447	8,720888753	34,42252189	10,2888437	6,189612657	29,37497013	4,510251967	-7,562868956	28,28225249	0,157627384	-0,26431234	0,988427589	0,291142543	-3,225695274	0,728772139	73,1384561	43,99898831	208,8125767	35,95815775	21,63188351	102,6616636	36,19440707	24,02822333	68,42787274	0,587892681	0,116038661	4,530570284	0,422277525	0,282427914	1,114780996
0,037	8,859	12,59863252	8,827398945	21,21635888	9,88036263	6,366287919	17,82696177	3,371398623	-10,58890206	15,55603368	0,117825955	-0,370068223	0,543662951	0,396398389	-0,605293741	0,722106547	70,23476007	45,25488804	126,7233228	34,53057006	22,24934036	62,30289062	36,39179071	24,45780766	71,80777789	0,442564771	0,123150392	1,615359932	0,408009505	0,28587727	0,687096482
0,038	8,894	16,16577685	8,87847262	40,64872283	13,44042869	6,539572211	39,29805276	4,613754476	-39,17608901	21,36652352	0,161244661	-1,369152871	0,746731942	-0,106679258	-4,892595309	0,718881566	95,54156252	46,48668297	279,3510128	46,97253347	22,85494621	137,3415344	49,36792735	28,73449189	199,2217203	0,719501365	0,105458067	2,558513089	0,523532264	0,287531302	1,316417893
0,039	9,177	14,36670745	9,482956115	29,34201714	11,41063358	6,949492918	24,57415722	3,633253303	-23,10024227	20,09430044	0,126977432	-0,807323136	0,702269416	0,159828165	-2,070384318	0,67929902	81,11272246	49,40061271	174,6858998	39,8786661	24,28756525	85,8834528	41,53259219	26,26363579	121,0660256	0,581977574	0,130433281	2,410461768	0,465269003	0,307107634	0,950247725
0,04	8,842	14,76729029	9,044394691	34,22560572	11,8003563	6,689718792	29,55614612	7,446761006	-4,182351257	28,40267056	0,260254519	-0,146167685	0,992636042	0,076578031	-3,177486855	0,708276229	83,8830744	47,55400302	210,1004699	41,24069584	23,37968879	103,2948498	37,96673463	25,69855925	69,21258696	0,839789276	0,102478254	4,548310327	0,478241967	0,292904725	1,108403822
0,041	8,915	13,02371939	8,671169545	23,92887022	10,24224117	6,237202637	19,92704675	3,884170157	-9,111738156	16,45209515	0,135746647	-0,318443284	0,574979123	0,350951091	-1,042006851	0,731855952	72,80718112	44,33728267	141,6518198	35,79528806	21,79820425	69,64241188	37,62916651	24,27299617	66,20944904	0,492231923	0,13694762	1,985185177	0,421776037	0,280817746	0,774941762
0,042	8,916	15,01067415	8,891795545	41,43943493	12,02361591	6,542956458	35,0600279	8,211706546	0,172382712	33,61454948	0,286988361	0,006024549	1,174784367	-0,026803144	-5,124074362	0,718037247	85,47011988	46,51073996	249,2249262	42,02095885	22,8667737	122,530194	37,66967759	25,05343486	74,46116754	0,965584106	0,176169929	6,477584671	0,486124007	0,287962768	1,342025279
0,043	8,875	14,32076681	9,388186849	25,06962066	11,4461806	6,954627389	21,9244372	4,078360537	-15,34664748	21,45567667	0,142533346	-0,536345179	0,749847728	0,195065232	-1,241343042	0,685676932	81,36540918	49,4371112	155,8503108	40,00289827	24,30550955	76,62302926	41,85383223	27,05512887	89,82037488	0,606565592	0,136453602	2,503801494	0,463781205	0,304038511	0,811885218
0,044	9,062	14,2383281	9,068718496	27,44958134	11,51741812	6,693077654	24,04398347	6,610911731	-9,026146913	23,35100784	0,231042685	-0,315451983	0,816087063	0,199084597	-1,687102644	0,706705007	81,87180251	47,57787956	170,9171488	40,25186403	23,39142757	84,03056516	39,87444692	25,62849533	69,51911968	0,710845192	0,154173075	2,997875915	0,461111409	0,293692457	0,888960772
