l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
0,007	9,01	15,46575259	9,274229759	46,72485935	12,5151209	6,82272173	45,47032612	-1,542529438	-45,36902781	19,2354957	-0,053909378	-1,58558795	0,672255318	-0,090391549	-6,785899825	0,693261346	88,96399318	48,49945713	323,2267443	43,73870425	23,8445166	158,9128194	48,08859707	27,1124066	199,2963242	0,456630581	0,111553268	2,640214093	0,500861823	0,300347985	1,51319492
0,0072	8,8	15,92081822	10,1330714	24,75116992	12,66662155	7,470524251	18,65866761	2,157730812	-12,94218156	15,8921513	0,075409859	-0,452312252	0,555409821	0,034252324	-1,184762685	0,63381967	90,04093863	53,10437461	132,6355208	44,26817912	26,10850135	65,20959333	47,46113203	27,92585483	86,1177113	0,633037774	0,106633229	1,697204189	0,515599225	0,328161762	0,80157212
0,0074	8,851	14,86141891	10,15637154	25,78785905	11,71249562	7,48082632	21,49647008	1,044286831	-14,82831268	19,69766896	0,036496454	-0,518230058	0,688407666	0,141586677	-1,371610594	0,632133732	83,25851493	53,17760708	152,8080978	40,93363428	26,14450573	75,12734037	43,73956086	27,929399	89,35521178	0,554216481	0,145689012	2,276380135	0,481290343	0,328916342	0,835145527
0,0076	8,988	13,75653369	9,644000978	25,02629568	10,70382662	7,226332409	21,28723106	0,798302623	-14,87955491	18,9494546	0,027899628	-0,520020907	0,662258557	0,267793565	-1,233602817	0,66831388	76,08837071	51,3685319	151,3207179	37,40846858	25,25508292	74,39607746	40,86552354	27,1861065	96,95976267	0,453208219	0,1352189	2,303799372	0,445508391	0,312323108	0,810482129
0,0078	8,925	15,51369608	9,324778489	47,99811901	12,62529185	6,969065749	46,63728083	-0,766028049	-46,53797169	10,05472877	-0,026771674	-1,626441004	0,351399568	-0,080492288	-7,216015363	0,689908506	89,74714566	49,53974658	331,5220658	44,12373727	24,35596973	162,9911728	49,11526685	28,13962851	199,3109665	0,424058316	0,108198833	0,944618177	0,502414484	0,301985017	1,554429716
0,008	8,825	15,44016976	10,10340433	26,32126583	12,0378812	7,15946052	20,89948303	-2,066734962	-18,58918049	11,97493197	-0,072229673	-0,64966745	0,418508149	0,076192101	-1,470736032	0,635960698	85,57152503	50,89317171	148,5644031	42,07081418	25,02137445	73,04094899	49,72940387	26,99711629	112,0526258	0,419457407	0,188166174	1,416560996	0,500033318	0,327200987	0,852420024
0,0082	8,879	17,81045114	10,61175586	47,32166767	14,89708854	7,527302646	46,05438336	-4,332276213	-45,95318462	11,2942438	-0,151407365	-1,606003464	0,394718991	-0,478999299	-6,986065884	0,598405917	105,8962589	53,50798499	327,3785272	52,0633684	26,30693438	160,9540227	60,34292478	28,01888403	199,2964226	0,410619298	0,152367114	1,191167018	0,576795405	0,343664064	1,53252269
0,0084	8,773	16,1254005	10,47406857	51,57684536	13,06352301	7,734309792	50,34073681	-1,308960886	-50,25056575	9,877624994	-0,045746464	-1,756191292	0,345210024	-0,199358155	-8,486857061	0,608759657	92,8623208	54,97949953	357,8481584	45,65529762	27,03039718	175,9342652	49,31816213	29,23001904	199,3583267	0,444229571	0,133012224	1,251150013	0,522224667	0,339205031	1,670327561
0,0086	8,858	15,21028977	10,04341098	29,60057167	11,78635392	7,229080462	23,51407647	0,326599571	-20,48250511	12,95989559	0,011414226	-0,715836659	0,452931334	0,099435013	-2,124733644	0,640271145	83,78353819	51,38806649	167,1502941	41,19175936	25,26468701	82,17860978	43,65659851	27,10564746	105,6591298	0,487334321	0,164990531	1,587079097	0,492588603	0,325258089	0,95862107
0,0088	8,927	13,10756019	9,195069041	23,19465205	10,17768808	6,830681098	19,69839998	-0,25053303	-18,34158611	11,4076723	-0,0087558	-0,641014351	0,398683168	0,350864228	-0,918618068	0,698475369	72,34830415	48,55603645	140,0264796	35,56968348	23,87233354	68,84332144	40,68889795	25,8974939	110,5323315	0,338995123	0,129435587	1,135647306	0,42449124	0,297784348	0,751163944
