epochen	l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
36	0,016	326,3	12,29372591	8,666834202	17,21034194	9,93913466	6,567304369	14,72065261	7,359732458	0,136640239	13,70536951	0,257212986	0,004775397	0,478984669	0,443321679	-0,056311005	0,732124014	70,65254225	46,68381758	104,6420605	34,73597059	22,95186646	51,446748	34,20321531	26,7635634	45,36535036	0,51206371	0,146610686	1,119271141	0,398135037	0,280677345	0,557360736
37	0,016	337,184	10,80660697	8,744396285	13,6772871	8,52947023	6,630926984	11,35725854	5,6657579	0,231289707	9,842505127	0,198010799	0,008083272	0,343982631	0,579133522	0,332866525	0,727307955	60,63191379	47,13608025	80,73330491	29,8093785	23,17421914	39,69212735	30,8651742	27,05578007	37,60068394	0,357273248	0,15084005	0,659085838	0,34997436	0,283189211	0,442941972
38	0,016	345,69	10,72903475	8,342093111	16,69432016	8,467333572	6,256403715	13,92322588	4,513801735	-1,526770094	12,36676777	0,157751444	-0,05335861	0,432202295	0,568672558	0,006082626	0,751822233	60,19021408	44,47377392	98,9735363	29,59221904	21,86530949	48,65984629	31,38242772	26,30796291	43,15323177	0,355443105	0,130430977	0,997779842	0,347462167	0,270160533	0,540649256
39	0,016	356,495	11,92963512	8,27631379	17,12772172	9,556456971	6,158427568	14,50832175	6,985181924	0,291816221	13,03894305	0,244122936	0,010198594	0,455693939	0,470302628	-0,046193465	0,75572068	67,93227006	43,77730847	103,1327023	33,39856231	21,52289572	50,70467953	33,12588661	25,44734454	44,91428253	0,48192334	0,134372348	1,077498632	0,386343876	0,268030255	0,554685062
40	0,016	365,121	11,54674977	9,016693463	17,50793461	9,215748363	6,850853604	14,54057703	6,262713604	1,441824696	12,17939044	0,218873617	0,05038988	0,425653704	0,502817529	-0,093157246	0,710060479	65,51033595	48,69943313	103,3619896	32,20783046	23,9428338	50,8174075	32,41299602	26,9199839	44,68926879	0,439673503	0,195047875	1,065223671	0,373944049	0,292007615	0,56699834
41	0,016	371,684	11,55675075	8,711823068	16,9685857	9,242110298	6,580825211	14,45072972	6,278529578	-1,250418866	13,27441458	0,219426365	-0,043700498	0,46392336	0,508883873	-0,026843122	0,729335749	65,6977303	46,77993076	102,7233081	32,29996196	22,99912002	50,50340292	32,89841083	26,87521437	44,74647321	0,434099388	0,140547717	1,075312305	0,374267933	0,28213432	0,549531407
42	0,016	381,979	11,17535536	8,543858031	15,01071125	8,883309594	6,467124758	12,48412436	5,913901134	0,068474415	10,94438639	0,206683079	0,002393091	0,382491934	0,540105354	0,196445481	0,739672017	63,14718815	45,97168877	88,74365363	31,04600062	22,60175187	43,63037541	31,76435868	26,76913383	40,15674283	0,401454103	0,145753856	0,799317257	0,361916359	0,276694735	0,486125209
43	0,016	390,397	11,21826414	8,603102728	17,65604695	8,942443598	6,538486481	15,16471241	6,028412261	-0,163955866	14,3454089	0,210685093	-0,005730042	0,501353205	0,531125349	-0,111731103	0,736049175	63,56754343	46,47896503	107,7986687	31,2526662	22,85115172	52,99867868	31,76818321	27,30127202	46,16697955	0,41439907	0,13999425	1,193036674	0,363305969	0,278613387	0,571794991
44	0,016	401,179	10,44858968	8,297084153	11,9985545	8,193692244	6,127786486	9,680196661	4,857093321	-1,950665665	7,892868497	0,169749034	-0,068173204	0,27584539	0,606865394	0,486582506	0,754493047	58,2450291	43,55949572	68,81187618	28,63587853	21,41580917	33,83101628	30,34701524	25,2247371	36,97704962	0,319915004	0,136788394	0,474813283	0,338379891	0,268702908	0,388575845
45	0,016	411,582	10,97548421	8,06408857	16,97894733	8,687995059	5,907707075	14,27121267	4,736318696	-2,982503988	12,75905839	0,165528119	-0,104234598	0,445912337	0,55024366	-0,02809756	0,768087913	61,75879078	41,99505671	101,4472075	30,36340196	20,64666052	49,8760144	32,19308969	24,22541893	44,22843189	0,373214869	0,135137422	1,045657316	0,355443487	0,261157295	0,54986697
46	0,016	419,887	10,51746282	8,387600983	12,22595395	8,255889466	6,25047226	9,823434368	5,055379007	-0,0601792	7,691028603	0,176678858	-0,002103184	0,268791351	0,601673257	0,466937272	0,749107124	58,68715932	44,43161005	69,83008436	28,85324965	21,84457983	34,33161326	30,28415108	26,34506553	33,79944381	0,32787365	0,133272536	0,481585678	0,340610363	0,271634316	0,395940227
47	0,016	429,078	10,25539044	8,224219926	14,15296301	8,001600833	6,046053341	11,56880709	4,087614198	-1,87971269	9,633205869	0,142856749	-0,06569349	0,336667896	0,615372915	0,285655756	0,758786152	56,87954337	42,97849398	82,23710212	27,96454427	21,13016255	40,43146176	30,10795722	25,00726405	37,82426738	0,302834481	0,122645858	0,680349767	0,332123091	0,266343184	0,458346842
48	0,016	440,653	10,1264987	8,198146916	13,16989742	7,888640212	5,979781353	10,60868289	3,625249624	-3,443891826	9,06739647	0,126697714	-0,120359497	0,316893601	0,625886533	0,381446041	0,760313154	56,07656048	42,5073982	75,41203957	27,56976173	20,89855066	37,07595374	30,3443452	23,57415409	39,38924096	0,286531902	0,129690862	0,584280552	0,327948903	0,265498804	0,426510045
49	0,016	447,546	10,07848911	8,480067266	11,99020388	7,867869324	6,392131962	9,697578832	4,164176191	-0,110398532	7,870186054	0,14553249	-0,003858284	0,275052669	0,63283739	0,487296901	0,743544864	55,9289102	45,43860094	68,93543771	27,4971702	22,33966189	33,89176469	29,57686993	26,52958839	33,43826412	0,290067602	0,140934369	0,476890164	0,326394102	0,274628857	0,388305409
50	0,016	457,001	10,30616133	8,62686107	12,75401431	8,052582291	6,472279272	10,29591119	4,316554189	-3,492803769	8,378776609	0,150857901	-0,122068906	0,292827241	0,616452159	0,419895004	0,734589308	57,24194611	46,00832974	73,18869554	28,14271777	22,61976622	35,98285773	30,31108307	25,57663661	39,39830955	0,302825673	0,126434422	0,538879476	0,333767317	0,279382807	0,413041578
